变量,系数,p值,Odds Ratio,CI_Lower,CI_Upper,显著性
A1,0.8506424462172212,0.0025401903223947705,2.341150432128636,1.3475766880316464,4.067290117538292,**
A2,-0.1706622106827432,0.5620498580246251,0.8431063176845613,0.473515016420671,1.5011736444871693,ns
A3,0.5161327222936022,0.0984415913929231,1.6755353435345945,0.9084205591683594,3.0904393995703123,ns
B1,0.9540652168768414,0.00435779855071521,2.5962425245467613,1.3474110827681682,5.002538076514165,**
B2,-0.54453951447373,0.14519092071149212,0.5801088535748705,0.27881894082626113,1.2069706634659672,ns
B3,0.6513177868091518,0.038599797539375855,1.9180667674093739,1.0347436613019931,3.5554507476867006,*
C1,1.165463509173882,8.953924472866756e-05,3.207409202304597,1.7902291770133858,5.746456332585674,***
C2,1.0704221095344921,0.0008724518753386495,2.916610369223146,1.5529459113316164,5.477728479651775,***
