配对,Pearson,Spearman,Kendall_Tau,Cramers_V
C2 vs B1,0.2867,0.2471,0.2326,0.2266
C2 vs B2,0.5897,0.4747,0.4581,0.5430
C2 vs B3,0.4464,0.3476,0.3261,0.3780
