模型,准确率,精确率,召回率,F1分数,AUC
逻辑回归,0.8925,0.8795986622073578,0.9740740740740741,0.9244288224956063,0.9134900284900285
决策树,0.9,0.8859060402684564,0.9777777777777777,0.9295774647887324,0.9307692307692308
