配对,Pearson,Pearson_p,Spearman,Spearman_p,Kendall_Tau,Kendall_p,Cramers_V,Cramers_p
C2 vs B1,0.2867,0.0000,0.2471,0.0000,0.2326,0.0000,0.2266,0.0000
C2 vs B2,0.5897,0.0000,0.4747,0.0000,0.4581,0.0000,0.5430,0.0000
C2 vs B3,0.4464,0.0000,0.3476,0.0000,0.3261,0.0000,0.3780,0.0000
