变量,系数,p值,显著性,Odds Ratio,OR 95% CI
A1,0.8506,0.0025,**,2.3412,"[1.3476, 4.0673]"
A2,-0.1707,0.5620,ns,0.8431,"[0.4735, 1.5012]"
A3,0.5161,0.0984,ns,1.6755,"[0.9084, 3.0904]"
B1,0.9541,0.0044,**,2.5962,"[1.3474, 5.0025]"
B2,-0.5445,0.1452,ns,0.5801,"[0.2788, 1.2070]"
B3,0.6513,0.0386,*,1.9181,"[1.0347, 3.5555]"
C1,1.1655,0.0001,***,3.2074,"[1.7902, 5.7465]"
C2,1.0704,0.0009,***,2.9166,"[1.5529, 5.4777]"
