特征,重要性
C1,0.8102222073980585
A2,0.12274792348307244
B1,0.02542634493595056
A1,0.022722521525647996
C2,0.011172539804520397
B2,0.00463235889031537
A3,0.0025237186129644833
B3,0.0005523853494702796
