预测目标,预测变量,样本数,线性回归R²,线性回归RMSE,逻辑回归准确率
C1,"A1, A2, A3",400,0.5807,0.5159,0.7300
C2,"B1, B2, B3",400,0.3829,0.4966,0.7825
