,B1,B2,B3,C2
B1,1.0,0.13940718662547977,0.20273967308087484,0.24713261983485219
B2,0.13940718662547977,1.0,0.6029415007980217,0.4746855882298491
B3,0.20273967308087484,0.6029415007980217,1.0,0.3476169147965227
C2,0.24713261983485219,0.4746855882298491,0.3476169147965227,1.0
