特征,重要性
C1,0.7954202718916574
A2,0.11579664794573631
B3,0.03625195725249623
B1,0.0192410994647831
A3,0.012227684270353317
C2,0.011593300636607738
B2,0.007815051413848702
A1,0.0016539871245171641
