,A1,A2,A3,C1
A1,1.0,0.6757980160350493,0.594332535401587,0.636874657874049
A2,0.6757980160350493,1.0,0.6169610412818605,0.6382493050187471
A3,0.594332535401587,0.6169610412818605,1.0,0.5293876865461972
C1,0.636874657874049,0.6382493050187471,0.5293876865461972,1.0
