变量,系数,p值,显著性,Odds Ratio,OR 95% CI
A1,1.1594,0.0000,***,3.1881,"[1.9454, 5.2248]"
A2,0.1218,0.6520,ns,1.1295,"[0.6653, 1.9177]"
A3,0.7830,0.0055,**,2.1881,"[1.2588, 3.8035]"
B1,0.8974,0.0035,**,2.4533,"[1.3420, 4.4848]"
B2,0.0581,0.8527,ns,1.0598,"[0.5741, 1.9562]"
B3,0.8622,0.0021,**,2.3682,"[1.3666, 4.1040]"
