变量,系数,p值,显著性,Odds Ratio,OR 95% CI
A1,1.1458,0.0000,***,3.1451,"[1.9004, 5.2050]"
A2,0.0769,0.7791,ns,1.0799,"[0.6311, 1.8480]"
A3,0.7101,0.0136,*,2.0343,"[1.1571, 3.5763]"
B1,0.8953,0.0052,**,2.4480,"[1.3066, 4.5864]"
B2,-0.3116,0.3718,ns,0.7322,"[0.3695, 1.4510]"
B3,0.8818,0.0018,**,2.4152,"[1.3873, 4.2049]"
C2,1.0452,0.0006,***,2.8438,"[1.5649, 5.1679]"
